date,bloque,title,tema,sentiment_score
2026-03-17 20:33:48,Occidente_USA,"Top US counterterrorism official resigns over Iran war, urging Trump to 'reverse course'",Conflicto Medio Oriente,-0.6597
2026-03-17 20:33:48,Occidente_USA,Israel says it killed Iranian security chief Ali Larijani in air strike,Conflicto Medio Oriente,-0.5574
2026-03-17 20:33:48,Occidente_USA,Water supply cut in Moldova after oil spill blamed on Russian strike in Ukraine,Comercio/Petroleo,-0.6908
2026-03-17 20:33:48,Occidente_USA,Trump seeks to delay meeting with Xi in China,General,-0.3182
2026-03-17 20:33:48,Occidente_USA,What have US allies and China said about sending ships to the Strait of Hormuz?,General,0.0
2026-03-17 20:33:48,Occidente_USA,Surge in US gas prices deepens political peril for Trump over Iran,Conflicto Medio Oriente,-0.4019
2026-03-17 20:33:48,Occidente_USA,Gas on the line: will the Iran war squeeze India's piped gas next?,Conflicto Medio Oriente,-0.5994
2026-03-17 20:33:48,Occidente_USA,Wary allies show there's no quick fix to Trump's Iran crisis,Conflicto Medio Oriente,-0.743
2026-03-17 20:33:48,Occidente_USA,"'My mother cried out one last time': Palestinian boy, 12, describes how Israeli forces killed his family in car",Conflicto Medio Oriente,-0.7964
2026-03-17 20:33:48,Occidente_USA,"Iran taking steps to prevent anti-establishment protests, Tehran residents tell BBC",Conflicto Medio Oriente,-0.2023
2026-03-17 20:33:48,Occidente_USA,Why did only two Iranian football players stay in Australia?,Conflicto Medio Oriente,0.0
2026-03-17 20:33:48,Occidente_USA,Watch: Reunion resident gets close to lava from erupting volcano,OTAN/UE,0.0
2026-03-17 20:33:48,OrienteMedio_Qatar,Trump says it’s a ‘good thing’ counterterrorism director resigned over Iran,Conflicto Medio Oriente,-0.25
2026-03-17 20:33:48,OrienteMedio_Qatar,"Starmer, Zelenskyy urge ‘focus’ on Ukraine as Iran war diverts attention",Conflicto Medio Oriente,-0.5994
2026-03-17 20:33:48,OrienteMedio_Qatar,Video: Man rescued from under rubble after attack in Iran,Conflicto Medio Oriente,-0.0772
2026-03-17 20:33:48,OrienteMedio_Qatar,"Israel carrying out ‘mass expulsion of Palestinians’ in West Bank, UN warns",Conflicto Medio Oriente,-0.1027
2026-03-17 20:33:48,OrienteMedio_Qatar,Why Iranians are taking to Tehran’s streets during war,Conflicto Medio Oriente,-0.5994
